# x, y, theta, s
-1.26423, -13.5775, 2.16404, 44.1
-1.43104, -13.3281, 2.15675, 44.4
-1.59604, -13.0776, 2.14957, 44.7
-1.75925, -12.8258, 2.14249, 45
-1.92068, -12.573, 2.13551, 45.3
-2.08036, -12.319, 2.12862, 45.6
-2.2383, -12.0639, 2.12182, 45.9
-2.39451, -11.8078, 2.1151, 46.2
-2.549, -11.5506, 2.10847, 46.5
-2.7018, -11.2924, 2.10191, 46.8
-2.85291, -11.0333, 2.09544, 47.1
-3.00235, -10.7731, 2.08903, 47.4
-3.15013, -10.5121, 2.0827, 47.7
-3.29626, -10.25, 2.07644, 48
-3.44076, -9.98713, 2.07024, 48.3
-3.58364, -9.72333, 2.0641, 48.6
-3.7249, -9.45867, 2.05803, 48.9
-3.86455, -9.19315, 2.05201, 49.2
-4.00262, -8.9268, 2.04605, 49.5
-4.1391, -8.65964, 2.04014, 49.8
-4.27401, -8.39168, 2.03429, 50.1
-4.40735, -8.12294, 2.02848, 50.4
-4.53914, -7.85343, 2.02272, 50.7
-4.66938, -7.58317, 2.017, 51
-4.79807, -7.31217, 2.01133, 51.3
-4.92524, -7.04045, 2.0057, 51.6
-5.05087, -6.76802, 2.00011, 51.9
-5.17499, -6.4949, 1.99455, 52.2
-5.29759, -6.22109, 1.98903, 52.5
-5.41869, -5.94661, 1.98355, 52.8
-5.53828, -5.67147, 1.9781, 53.1
-5.65637, -5.39569, 1.97267, 53.4
-5.77297, -5.11927, 1.96728, 53.7
-5.88808, -4.84223, 1.96191, 54
-6.00171, -4.56457, 1.95657, 54.3
-6.11385, -4.28632, 1.95126, 54.6
-6.22452, -4.00747, 1.94596, 54.9
-6.33371, -3.72804, 1.94069, 55.2
-6.44144, -3.44805, 1.93544, 55.5
-6.54769, -3.16749, 1.93021, 55.8
-6.65247, -2.88638, 1.92499, 56.1
-6.75579, -2.60473, 1.91979, 56.4
-6.85765, -2.32254, 1.91461, 56.7
-6.95804, -2.03984, 1.90943, 57
-7.05697, -1.75661, 1.90427, 57.3
-7.15445, -1.47289, 1.89913, 57.6
-7.25045, -1.18866, 1.89398, 57.9
-7.345, -0.903944, 1.88885, 58.2
-7.43809, -0.618747, 1.88373, 58.5
-7.52971, -0.333078, 1.87861, 58.8
-7.61988, -0.0469424, 1.87349, 59.1
-7.70857, 0.23965, 1.86837, 59.4
-7.7958, 0.526693, 1.86326, 59.7
-7.88157, 0.814177, 1.85816, 60
-7.96586, 1.10209, 1.85307, 60.3
-8.04869, 1.39044, 1.84798, 60.6
-8.13005, 1.6792, 1.8429, 60.9
-8.20995, 1.96837, 1.83783, 61.2
-8.28837, 2.25794, 1.83276, 61.5
-8.36534, 2.5479, 1.82771, 61.8
-8.44083, 2.83825, 1.82265, 62.1
-8.51486, 3.12898, 1.8176, 62.4
-8.58742, 3.42008, 1.81255, 62.7
-8.6585, 3.71154, 1.8075, 63
-8.72812, 4.00335, 1.80245, 63.3
-8.79626, 4.29552, 1.79739, 63.6
-8.86292, 4.58802, 1.79234, 63.9
-8.9281, 4.88086, 1.78727, 64.2
-8.99179, 5.17402, 1.7822, 64.5
-9.054, 5.46751, 1.77713, 64.8
-9.11471, 5.7613, 1.77204, 65.1
-9.17393, 6.0554, 1.76695, 65.4
-9.23165, 6.3498, 1.76184, 65.7
-9.28787, 6.64449, 1.75673, 66
-9.34257, 6.93947, 1.75159, 66.3
-9.39575, 7.23472, 1.74644, 66.6
-9.44742, 7.53024, 1.74128, 66.9
-9.49755, 7.82603, 1.7361, 67.2
-9.54614, 8.12207, 1.7309, 67.5
-9.5932, 8.41836, 1.72567, 67.8
-9.6387, 8.71489, 1.72043, 68.1
-9.68264, 9.01166, 1.71516, 68.4
-9.72501, 9.30866, 1.70987, 68.7
-9.76581, 9.60588, 1.70454, 69
-9.80502, 9.90331, 1.6992, 69.3
-9.84264, 10.2009, 1.69382, 69.6
-9.87865, 10.4988, 1.68841, 69.9
-9.91304, 10.7968, 1.68297, 70.2
-9.94581, 11.095, 1.67749, 70.5
-9.97693, 11.3934, 1.67198, 70.8
-10.0064, 11.692, 1.66643, 71.1
-10.0342, 11.9907, 1.66084, 71.4
-10.0604, 12.2895, 1.65521, 71.7
-10.0848, 12.5885, 1.64953, 72
-10.1075, 12.8877, 1.64381, 72.3
-10.1286, 13.1869, 1.63805, 72.6
-10.1479, 13.4863, 1.63223, 72.9
-10.1654, 13.7858, 1.62637, 73.2
-10.1812, 14.0854, 1.62045, 73.5
-10.1952, 14.3851, 1.61448, 73.8
-10.2074, 14.6848, 1.60845, 74.1
-10.2178, 14.9847, 1.60236, 74.4
-10.2263, 15.2846, 1.59621, 74.7
-10.233, 15.5845, 1.58999, 75
-10.2378, 15.8845, 1.58371, 75.3
-10.2407, 16.1844, 1.57736, 75.6
-10.2417, 16.4844, 1.57094, 75.9
-10.2408, 16.7845, 1.56444, 76.2
-10.2379, 17.0844, 1.55787, 76.5
-10.2331, 17.3844, 1.55122, 76.8
-10.2262, 17.6843, 1.54448, 77.1
-10.2173, 17.9842, 1.53766, 77.4
-10.2063, 18.284, 1.53075, 77.7
-10.1932, 18.5837, 1.52375, 78
-10.1781, 18.8834, 1.51666, 78.3
-10.1608, 19.1829, 1.50949, 78.6
-10.1413, 19.4822, 1.50225, 78.9
-10.1197, 19.7815, 1.49496, 79.2
-10.0958, 20.0805, 1.48762, 79.5
-10.0698, 20.3794, 1.48024, 79.8
-10.0416, 20.6781, 1.47282, 80.1
-10.0111, 20.9765, 1.46536, 80.4
-9.97841, 21.2748, 1.45785, 80.7
-9.94347, 21.5727, 1.45031, 81
-9.90629, 21.8704, 1.44275, 81.3
-9.86685, 22.1678, 1.43515, 81.6
-9.82515, 22.4649, 1.42753, 81.9
-9.78118, 22.7617, 1.41989, 82.2
-9.73495, 23.0581, 1.41224, 82.5
-9.68644, 23.3542, 1.40456, 82.8
-9.63566, 23.6498, 1.39688, 83.1
-9.58262, 23.9451, 1.38919, 83.4
-9.5273, 24.24, 1.3815, 83.7
-9.46972, 24.5344, 1.37381, 84
