# x, y, z, theta, kappa, s, qx, qy, qz, qw
15.4559, 31.9957, -1.26905, -1.37992, -0.0302712, 135.36, -0.0512769, 0.0445513, -0.632873, 0.77127
15.5704, 31.405, -1.31619, -1.39785, -0.0268726, 135.96, -0.0528932, 0.0542006, -0.638921, 0.765535
15.6743, 30.8135, -1.38423, -1.41375, -0.0236903, 136.56, -0.0695504, 0.0780646, -0.640991, 0.760394
15.7687, 30.2214, -1.4857, -1.42773, -0.0207826, 137.16, -0.0772157, 0.102841, -0.642005, 0.755838
15.855, 29.6287, -1.60902, -1.43989, -0.0181916, 137.76, -0.0792445, 0.0971075, -0.64732, 0.751842
15.9341, 29.0355, -1.70268, -1.4505, -0.015912, 138.36, -0.0690168, 0.102381, -0.651729, 0.748335
16.0068, 28.4415, -1.8213, -1.46056, -0.0136887, 138.96, -0.0523706, 0.121035, -0.653913, 0.744987
16.0733, 27.8461, -1.93052, -1.46931, -0.0117805, 139.56, -0.0597647, 0.116224, -0.657467, 0.742063
16.1344, 27.2495, -2.02923, -1.47698, -0.0101622, 140.16, -0.0700645, 0.105927, -0.661082, 0.739487
16.1906, 26.6516, -2.12402, -1.48368, -0.00884093, 140.76, -0.0799541, 0.0951303, -0.66412, 0.737226
16.2425, 26.0528, -2.2067, -1.48949, -0.00783364, 141.36, -0.0877685, 0.0816292, -0.667101, 0.735262
16.2906, 25.4531, -2.28836, -1.49469, -0.0070966, 141.96, -0.0864736, 0.0846812, -0.668831, 0.733496
16.3354, 24.8528, -2.371, -1.4994, -0.00657772, 142.56, -0.0875732, 0.0765522, -0.671417, 0.731895
16.3771, 24.252, -2.44008, -1.50378, -0.00641547, 143.16, -0.0823483, 0.0642038, -0.674991, 0.7304
16.4159, 23.6508, -2.48593, -1.50802, -0.00594088, 143.76, -0.0738434, 0.0305345, -0.679889, 0.728948
16.452, 23.0494, -2.50508, -1.51195, -0.00755901, 144.36, -0.0602459, 0.00888231, -0.683289, 0.727604
16.4855, 22.4478, -2.50543, -1.51683, 0.00863872, 144.96, -0.0619173, 0.0146553, -0.684822, 0.725928
16.5159, 21.8461, -2.52501, -1.5119, 0.0243671, 145.56, -0.0701878, 0.0236498, -0.681969, 0.727621
16.5491, 21.2448, -2.56109, -1.49749, 0.0352702, 146.16, -0.0753369, 0.02252, -0.676164, 0.732543
16.5908, 20.6442, -2.58511, -1.47647, 0.042892, 146.76, -0.0643297, 0.0156196, -0.669718, 0.739659
16.645, 20.0442, -2.59934, -1.45084, 0.0474313, 147.36, -0.0478999, 0.00796552, -0.661671, 0.748221
16.7146, 19.4447, -2.62468, -1.42239, 0.0496375, 147.96, -0.0416815, 0.0111098, -0.651314, 0.757582
16.8014, 18.8451, -2.62345, -1.39249, 0.0495637, 148.56, -0.0343784, -0.00617609, -0.640388, 0.767257
16.9066, 18.245, -2.61432, -1.36245, 0.0492886, 149.16, -0.0378582, -0.0114456, -0.628503, 0.776801
17.0306, 17.6436, -2.61263, -1.33231, 0.0365419, 149.76, -0.0405634, -0.00677299, -0.616598, 0.786204
17.174, 17.0403, -2.61902, -1.30977, 0.0226731, 150.36, -0.039177, 0.00456004, -0.60779, 0.793118
17.3325, 16.4342, -2.63663, -1.29565, 0.0106653, 150.96, -0.0470414, 0.0073821, -0.601573, 0.797397
17.5009, 15.8249, -2.64876, -1.28897, -0.000275497, 151.56, -0.0488409, -0.0113125, -0.598692, 0.799409
17.6747, 15.212, -2.64418, -1.2892, -0.00989592, 152.16, -0.0335926, -0.00762365, -0.59989, 0.799341
17.8494, 14.5951, -2.6645, -1.29555, -0.0182721, 152.76, -0.0323122, 0.00533753, -0.602523, 0.797429
18.0209, 13.9745, -2.66794, -1.30731, -0.0253932, 153.36, -0.0397646, 0.0121236, -0.60667, 0.793866
18.1856, 13.3501, -2.7035, -1.32369, -0.0313004, 153.96, -0.0426858, 0.0123179, -0.612966, 0.788859
18.3402, 12.7223, -2.72196, -1.34388, -0.0360656, 154.56, -0.0313553, -0.001562, -0.621715, 0.782614
18.4822, 12.0915, -2.71741, -1.36715, -0.0397107, 155.16, -0.0328604, -0.0010229, -0.630714, 0.775318
18.6094, 11.4582, -2.72839, -1.39275, -0.0424776, 155.76, -0.0290009, 0.000451602, -0.640785, 0.767172
18.7202, 10.8229, -2.72789, -1.42008, -0.0438843, 156.36, -0.0306617, -0.00539787, -0.651119, 0.758337
18.8134, 10.1861, -2.72628, -1.44825, -0.0462125, 156.96, -0.0108923, -0.00842655, -0.662338, 0.749078
18.8886, 9.54837, -2.72443, -1.47786, -0.0316013, 157.56, -0.0144587, -0.0101456, -0.673264, 0.739191
18.9448, 8.91034, -2.71968, -1.49802, -0.0165098, 158.16, -0.0220927, -0.032445, -0.679782, 0.732363
18.9881, 8.27172, -2.66381, -1.50852, -0.00564994, 158.76, -0.0124582, -0.0446775, -0.683177, 0.728779
19.0249, 7.63194, -2.6253, -1.51208, 0.00522274, 159.36, 0.00214663, -0.00975446, -0.685974, 0.727558
19.0594, 6.99037, -2.66052, -1.50868, 0.00180575, 159.96, 0.000913981, 0.0167635, -0.684604, 0.728722
19.0963, 6.34628, -2.6695, -1.50748, 0.00197672, 160.56, -0.00446607, -0.00731917, -0.684316, 0.729135
19.1341, 5.69978, -2.63939, -1.50614, 0.00218813, 161.16, -0.00430204, -0.0183818, -0.683621, 0.729593
19.1731, 5.05133, -2.63563, -1.50457, 0.00241614, 161.76, 0.000165158, -0.00379706, -0.683298, 0.73013
19.2133, 4.40103, -2.6303, -1.50284, 0.00272635, 162.36, 0.000461893, -0.00174734, -0.682676, 0.730719
19.2549, 3.74887, -2.62941, -1.50091, 0.00317229, 162.96, -0.00541509, -0.00403508, -0.681938, 0.731379
19.2976, 3.09343, -2.61966, -1.49903, 0.00421, 163.56, -0.00846426, -0.00982343, -0.681159, 0.732021
19.3417, 2.43294, -2.61362, -1.49645, 0.00606751, 164.16, -0.0053336, -0.00462607, -0.680301, 0.732899
19.3877, 1.76691, -2.6128, -1.49261, 0.0101935, 164.76, -0.00293438, 0.00103414, -0.678922, 0.734204
19.4372, 1.09747, -2.60997, -1.48534, 0, 165.36, -0.00453167, -0.00569511, -0.676219, 0.736665
19.495, 0.444386, -2.59299, -1.48277, 0, 165.96, -0.0018108, -0.0205021, -0.674996, 0.737534
